"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ZMCorePatientDemographics","ZMCorePatientDemographics.language","ZMCorePatientDemographics.language","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Languages Spoken","Languages Spoken","","","","","","","","","",,,,,"",,,,"ZMCorePatientDemographics.language",0,*,"",""
"ZMCorePatientDemographics","ZMCorePatientDemographics.address","ZMCorePatientDemographics.address","","","",0,*,"","","","Address {[]} {[]}
","Patient Address","Patient Address","","","","","","","","","",,,,,"",,,,"ZMCorePatientDemographics.address",0,*,"",""
"ZMCorePatientDemographics","ZMCorePatientDemographics.contact","ZMCorePatientDemographics.contact","","","",0,*,"","","","ContactPoint {[]} {[]}
","Contact Information","Contact Information","","","","","","","","","",,,,,"",,,,"ZMCorePatientDemographics.contact",0,*,"",""
"ZMCorePatientDemographics","ZMCorePatientDemographics.nextOfKin","ZMCorePatientDemographics.nextOfKin","","","",0,1,"","","","Reference {[]} {[]}
","Next of Kin","Next of Kin","","","","","","","","","",,,,,"",,,,"ZMCorePatientDemographics.nextOfKin",0,1,"",""
"ZMCorePatientDemographics","ZMCorePatientDemographics.dateCreated","ZMCorePatientDemographics.dateCreated","","","",1,1,"","","","dateTime {[]} {[]}
","Record Creation Date","Record Creation Date","","","","","","","","","",,,,,"",,,,"ZMCorePatientDemographics.dateCreated",1,1,"",""
"ZMCorePatientDemographics","ZMCorePatientDemographics.dateModified","ZMCorePatientDemographics.dateModified","","","",0,1,"","","","dateTime {[]} {[]}
","Record Last Modified Date","Record Last Modified Date","","","","","","","","","",,,,,"",,,,"ZMCorePatientDemographics.dateModified",0,1,"",""
"zm-communication-acknowledgement-required","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Communication Acknowledgement Required","Whether the workflow must create and track an acknowledgement or completion Task.","","","","","","","","","",,,,,"",,,,"Extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"zm-communication-acknowledgement-required","Extension.id","Extension.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"zm-communication-acknowledgement-required","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"zm-communication-acknowledgement-required","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://hapi.moh.gov.zm/fhir/StructureDefinition/zm-communication-acknowledgement-required""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"zm-communication-acknowledgement-required","Extension.value[x]","Extension.value[x]","","","",1,1,"","","","boolean {[]} {[]}
","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R5/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"ext-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"zm-communication-data-classification","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Communication Data Classification","The governance classification used to determine permitted channels and payload disclosure.","","","","","","","","","",,,,,"",,,,"Extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"zm-communication-data-classification","Extension.id","Extension.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"zm-communication-data-classification","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"zm-communication-data-classification","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://hapi.moh.gov.zm/fhir/StructureDefinition/zm-communication-data-classification""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"zm-communication-data-classification","Extension.value[x]","Extension.value[x]","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R5/extensibility.html) for a list).","","","","","","","","","",,"required","","http://hapi.moh.gov.zm/fhir/ValueSet/zm-communication-data-classification-vs","",,,,"Extension.value[x]",0,1,"ext-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"zm-communication-expiry","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Communication Expiry","The instant after which the request must not be delivered and should be completed, revoked, or escalated according to policy.","","","","","","","","","",,,,,"",,,,"Extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"zm-communication-expiry","Extension.id","Extension.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"zm-communication-expiry","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"zm-communication-expiry","Extension.url","Extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://hapi.moh.gov.zm/fhir/StructureDefinition/zm-communication-expiry""/>","","","","",,,,,"",,,,"Extension.url",1,1,"",""
"zm-communication-expiry","Extension.value[x]","Extension.value[x]","","","",1,1,"","","","instant {[]} {[]}
","Value of extension","Value of extension - must be one of a constrained set of the data types (see [Extensibility](http://hl7.org/fhir/R5/extensibility.html) for a list).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"ext-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"zm-communication-fallback-channel","Extension","Extension","","","",0,*,"","","","null {[]} {[]}
","Communication Fallback Channel","An approved alternative channel to try if the preferred channel cannot deliver the message. Repetition order expresses routing order.","","","","","","","","","",,,,,"",,,,"Extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"zm-communication-fallback-channel","Extension.id","Extension.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"zm-communication-fallback-channel","Extension.extension","Extension.extension","","","",0,0,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
